Denominazione,Indirizzo,Telefono,Fax,Email,Sito web,Latitudine,Longitudine
Arcobaleno Basket,Via 4 Novembre 78/1 - Gardolo - Trento,0461-828111,0461-1862620,info@arcobalenobasket.com,www.arcobalenobasket.com,46.101.871,11.112.907
Polisportiva Oltrefersina,"Via d'Oltrefersina, 147 - Fraz. Madrano - Pergine Vals.",0461-552117,0461-1632067,info@oltrefersina.it,www.oltrefersina.it,46.084.587,11.218.092
Amici nuoto Riva E. Meroni,"Viale Rovereto, 65 - Riva del Garda",0464-520078,0464/553251,info@amicinuotoriva.it,www.amicinuotoriva.it,45.954.969,10.873.718
"ASD Ginnastica Acrobatica valle del Noce Presidente Cristofori Patrizia","Via del Pressenach - Palazzetto dello Sport - Mezzana Via Prati, 11 - Mezzana","0463-757535 333-3043871",0463-757333,patrizia.cristofori@tin.it,,46.314.235,10.795.231
Rari Nantes,Via Bettini 7/a - Trento,0461-921366,0461-921366,info@rarinantes.it,www.rarinantes.it,46.043.525,11.133.442
Associazione Vela Lago di Ledro,"Via Alzer, Pieve di Ledro",0464-590204,0464-590204,,www.avll.it,45.881.472,10.733.782
Associazione Cavalieri della Valsugana,"Via Ciocca, 6 - Novaledo",0461-773117,0461-773117,ranchaltotem@virgilio.it,www.ranchaltotem.com,45.885.886,10.730.703
Associazione Predaia Cassa rurale d’Anaunia,"Borgo Italia, 11 - Taio",0463-467240,,info@aspredaia.it],www.aspredaia.it,46.320.437,11.064.241
Associazione Orienteering Crea Rossa,Piazza S. Margherita 1 - Marter di Roncegno,"0461-764552 338-3893875 340-2573060",,crearossa@tin.it,www.crearossa.it,46.035.467,11.392.136
Associazione Mountain and Bike Val di Sole,Piazzale telecabina Daolasa - Commezzadura,"345-235 6293 349-3471787",,info@centrobikevaldisole.com,www.centrobikevaldisole.com,46.460.566,10.821.533
Associazione Limite Zero,"Via Ferme, 1 - Roncegno",340-8699024,0464-514871,zeo@limitezero.eu,http://limitezero.eu,46.050.004,11.411.898
