Denominazione,Indirizzo,Telefono,Email,Sito web,Latitudine,Longitudine
Comune di Arco,"Piazza III Novembre, 3 - 38062 Arco",0464-583511,urp@comune.arco.tn.it,http://www.comune.arco.tn.it/,45.925.364,10.887.051
Comune di Baselga di Piné,"Via Cesare Battisti, 22 - 38042 Baselga di Piné",0461-557024,c.baselgadipine@comuni.infotn.it,http://next.comunebaselgadipine.it/,46.135.122,11.246.366
Comune di Bocenago,"Via A. Ferrazza, 54 - 38080 Bocenago",0465-804505,segretario@comune.bocenago.tn.it,www.comune.bocenago.tn.it/,46.156.054,10.754.013
Comune di Borgo Valsugana,"Piazza Degasperi, Piazza Martiri della Resistenza, 20, 38051 Borgo Trento",0461 758700,comune@comune.borgo-valsugana.tn.it,www.comune.borgo-valsugana.tn.it,46.053.444,11.456.612
Comune di Brentonico,"Via Roma, 2 - 38060 Brentonico",0461-848812,"segreteria@comune.brentonico.tn.it
",http://www.comune.brentonico.tn.it/,45.849.847,10.958.633
Comune di Cagnò,Via Nazionale n. 48 - 38028 Cagnò,0463-432125,c.cagno@comuni.infotn.it,www.comune.cagno.tn.it,,
Comune di Caldes,"Via al Castello, 12 - 38022 Caldes",0463-901334,segreteria@comune.caldes.tn.it,www.comune.caldes.tn.it/home/index.asp,,
Comune di Canal San Bovo,"Via Roma, 58 - 38050 Canal San Bovo",0439-719900,canalsanbovo@comune.canalsanbovo.tn.it,www.canalsanbovo.net/,46.156.975,11.731.761
Comune di Canazei,Palazzo Municipale - Via Roma 12 - 38032 Canazei,0462-605601,segreteria@comune.canazei.tn.it,www.comune.canazei.tn.it/canazei/,,
Comune di Carisolo,"Via Campiglio, n. 9 - 38080 Carisolo",0465-501176,comune@carisolo.com,www.carisolo.com/,,
Comune di Cavalese,"Via S.Sebastiano, 7 - 38033 Cavalese",0462-237511,info@comunecavalese.it,www.mbtechzone.it,46.300.457,11.457.939
Comune di Cles,"Corso Dante, 28 - 38023 Cles",0463-662000,info@comune.cles.tn.it ,www.comune.cles.tn.it/,,
