Denominazione,Indirizzo,Telefono,E-mail,Sito web,Latitudine,Longitudine
Museo Castello del Buonconsiglio,"Via Bernardo Clesio, 5 – 38122 Trento",0461 233770,info@buonconsiglio.it,http://www.buonconsiglio.it/,46.074.064,11.126.851
Castel Thun ,"Via Castel Thun, Vigo di Ton – 38.010 Ton (TN)",0461 657816,info@buonconsiglio.it,www.castelthun.org/,46.264.882,11.082.884
Castel di Stenico,Via al Castello  38070 Stenico (TN),0465 771004,info@buonconsiglio.it,www.buonconsiglio.it,46.051.433,10.852.772
Museo tridentino di scienze naturali\ Muse,"Corso del Lavoro e della Scienza 3, 38123 Trento",0461 270311,museinfo@muse.it,http://www.muse.it,46.063.375,11.11.481
Museo dell’aeronautica “Caproni” ,"Via Lidorno, 3 38123 Mattarello (TN)",0461 944 888,caproni@mtsn.tn.it,http://www.museocaproni.it/,46.022.684,11.124.251
Giardino botanico delle Viote sul Bondone ,"Località Viote, 38050 Trento",0461 948050,info@mtsn.tn.it,http://www.mtsn.tn.it/,46.073.231,11.043.549
Museo delle Palafitte del Lago di Ledro ,"Via Lungolago, 1 38060 Molina di Ledro (TN)",464508182,museo.ledro@mtsn.tn.it,www.palafitteledro.it,45.876.385,10.764.856
Museo degli usi e costumi della gente trentina ,"Via Mach, 2 - 38010 San Michele All'Adige (TN)",0461 650314 ,info@museosanmichele.it,www.museosanmichele.it,46.198.131,11.134.615
Mart Rovereto,Corso Bettini 43 38068 Rovereto (TN),0464 438887,nfo@mart.trento.it,www.mart.trento.it,45.894.429,11.043.531
Casa del Parco “Orso” ,"Via Alt Spaur, 82 38010 Spormaggiore (TN)",0461 653622,cvspormaggiore@pnab.it ,www.pnab.it,,
"Casa del Parco ""C’era una volta""",38078 San Lorenzo in Banale (TN),0465 734040 ,info@pnab.it,www.pnab.it,,
"Casa del parco ""Lago Rosso""",Località Val di Tovel 38010 Tuenno (TN),0463 451033,cvtovel@pnab.it,www.pnab.it,,
"Casa del Parco ""Fauna""",Villa de Biasi 38080 Daone (TN),0465 670127,cvdaone@pnab.it ,www.pnab.it,46.252.048,10.713.959
"Casa del Parco ""Flora""",Loc Rio Bianco Stenico (TN), 0465 702579 ,info@pnab.it,www.pnab.it,46.055.365,10.852.404
Museo della Civiltà solandra ,"Piazza Garibaldi, 6  38027 Malè (TN)",0463-901780,centrostudi@centrostudivaldisole.it,www.centrostudivaldisole.it/,46.353.089,10.916.501
Museo degli Spaventapasseri ,"Via San Silvestro, 2 Fraz. Marter 38.050 Roncegno Terme",0461 764387 (Biblioteca di Roncegno),roncegno@biblio.infotn.it,www.lacasadeglispaventapasseri.net,,
Museo delle Palafitte,Via 3 Novembre Fiavé (TN),0461 492161,sopr.librariarchivisticiarcheologici@provincia.tn.it,www.trentinocultura.net,46.003.177,10.841.721
Centro d’arte contemporanea ,"Palazzo Firmian Piazzetta Rizzoli, 1 38.033 Cavalese",0462  235416, info@artecavalese.it,www.artecavalese.it,46.070.759,11.126.744
Museo del Miele,Az. Apistica Amelio Marigo Loc.Tobia Lavarone (TN),0464 783315,info@museodelmiele.com,www.museodelmiele.com/,45.942.675,11.262.503
Museo Retico ,"Via Nazionale, 50 38010 Sanzeno (TN)",0463 434125,uff.beniarcheologici@provincia.tn.it,www.visitvaldinon.it,46.370.222,11.080.803
Centro Documentazione ,"Via Trento 6, 38040 Luserna (TN)",0464 78 96 38,info@lusern.it,www.lusern.it,45.924.886,11.322.756
