"Nominativo","Referente","Ruolo","Indirizzo","Contatto telefonico","sito","email di contatto",latitude,longitude
"Cooperativa Sociale E.D.I.","Mauro Cristoforetti","Consulenza e formazione","Via dei Bruzi 12, Roma, cap.00185","3396561883","http://www.edionlus.it/","segreteria@edionlus.it",41.893627,12.515071
"Forum delle Associazioni Familiari del Trentino","Fabrizio Russo","Consulenza e formazione","Via Rosmini, 128  38122 Trento","3311264466","http://www.forumfamiglie.tn.it/","info@forumfamiglie.tn.it",46.064019,11.119383
"Associazione Amaranta","Viola Durini, Franca Rossi, Marianna Nardon","Consulenza e formazione","Via Oss Mazzurana, 54 38122 Trento ","3204456915","http://www.associazioneamaranta.it/mojoPortal/","info@associazioneamaranta.it",46.068345,11.122464
"Associazione Provinciale per i Minori - APPM Onlus","Nicola Sollecito","Consulenza e formazione","Via Zambra, 11 38121 Trento","0461 829896","http://www.appm.it/","associazioneminori@appm.it",46.091592,11.116965
"Azienda pubblica servizi alla persona CASA MIA","Francesca Giuliani","Consulenza e formazione","V.le Trento, 26 38066 Riva del Garda","0464 576215","http://nuke.casamiariva.it/","info@casamiariva.it",45.89049,10.84699
"Associazione ConEducazione","Arianna Miriam Fiumefreddo","Consulenza e formazione","Via dei Giardini, 3 38122 Trento","3468081116","http://www.coneducazione.org","info@coneducazione.org",46.070979,11.134883
"Informatici Senza Frontiere ","Fulvio Medeot","Consulenza e formazione","Via Chionesi, 30 38060 Pomarolo","3357297135","http://www.informaticisenzafrontiere.org/","fulvio@medeot.com",45.92955,11.0458
"Cooperativa Sociale Kaleidoscopio","Cristiano Conte","Consulenza e formazione","Via Sommarive, 4 38122 Povo","0461 816036","http://www.kaleidoscopio.coop/","info@kaleidoscopio.coop",46.06417,11.150243
"Associazione di promozione sociale Orizzonti Comuni","Cristina Bailoni","Consulenza e organizzazione eventi","Via Garibaldi, 4 38049 Vigolo Vattaro","3498889226","http://www.orizzonticomuni.it/","orizzonticomuni@libero.it",46.004122,11.197327
"Cooperativa di solidarietà sociale Villa Sant'Ignazio","Sara Andreatta","Consulenza e organizzazione eventi","Via alle Laste, 22 38121 Trento","0461 238720","http://coop.vsi.it/","vsiprogetti@vsi.it",46.180787,11.073476
"CORECOM","Fulvio Gardumi","Consulenza e organizzazione eventi","Via Manci, 27  38122 Trento","0461 213197","http://www.consiglio.provincia.tn.it","corecom@consiglio.provincia.tn.it",46.069973,11.123156
"FORMAT - Centro audiovisivi PAT","Maria Rosa Pontalti","Consulenza","Via Zanella 10/2  38122 Trento","0461 495117","http://www.format.provincia.tn.it","format@provincia.tn.it",46.067467,11.118766
"Fondazione Bruno Kessler","Marco Matassoni, Alessandra Potrich, Micaela Vettori","Consulenza e formazione","Via Sommarive   38122 Povo","0461 314444","http://www.fbk.eu/it","",46.066174,11.15036
"Fondazione <AHREF","Giancarlo Sciascia, Maurizio Teli, Alessandra Frongia","Consulenza e formazione","Vicolo Dallapiccola, 12  38122 Trento","0461 235794","http://www.ahref.eu","info@ahref.eu",46.063187,11.122705
"Università degli Studi di Trento - Dipartimento di Sociologia","prof. Carlo Buzzi, prof. Vincenzo d'Andrea","Consulenza","Via Verdi, 26  38122 Trento","0461 281322","http://www.unitn.it/sociologia","segreteria.dsrs@soc.unitn.it",46.066683,11.119627
"Associazione oratori NOI Trento","Carmen Pellegrini, Stefano Cagol","Consulenza e formazione","Piazza Fiera, 2  38122 Trento","0461 891203","","trento@noiassociazione.it",46.064945,11.12472
"Polizia Postale e delle Comunicazioni","Mauro Berti","Consulenza e formazione","Via Vannetti, 15  38121 Trento","0461 232462","","Poltel.tn@poliziadistato.it",46.07593,11.124187
"Studio di psicologia di Serena Valorzi","","Consulenza e formazione","Via Lunelli, 62  38121 Trento","3471724690","http://www.serenavalorzi.it/","info@serenavalorzi.it ",46.092267,11.117982
"Stefano Sarzi Sartori - Ricerca, formazione e progettazione","","Consulenza ","","3487524285","","stefano.sarzi@alice.it",,
"Grazia Campregher - consulente educativa NDI","","Consulenza e organizzazione eventi","Vicolo Garibaldi, 3 - 38056 Levico Terme","3385964329","","grazia.campregher@yahoo.it",46.01253,11.29861
