Denominazione,Indirizzo,Telefono,Fax,Email,Sito web,Latitudine,Longitudine
Malga Dossioli Avio,"Località Dossioli, Avio",327-8166542,340-7415965,,,,
Rifugio Prà Rodont - Pinzolo,"Località Prà Rodont, 1",0465-502500,,info@snowfood.it,www.snowfood.it,46.166.963,10.786.343
Rifugio Dos del Sabion - Pinzolo,Località Prà Rodont,0465-290101,,info@snowfood.it,www.snowfood.it,46.167.527,10.806.277
Ristorante la Botte,"Viale Dolomiti, 18 - Giustino",0465-501488,,ristorante.labotte@alice.it,,46.153.036,10.766.516
"Ristorante, pizzeria gelateria il Giardino delle Spezie","Via Nazionale, 109 - Loc. Due Laghi - Padegnone",0461-340122,0461-529258,info@ilgiardinodellespezie.it,www.ilgiardinodellespezie.it,46.059.117,10.979.505
Bar Gelateria Serafini,"Via Cembra, 27 - Lavis",0461-245148,,info@gelateriaserafini.it,www.gelateriaserafini.it,46.14.379,11.10.707
Ristorante il Caminetto,"Via Lungo Canali, 29 - Transacqua",0439-762088,0439-765329,il.caminetto@libero.it,,46.577.743,11.771.851
Pizzeria La Pineta,"Località Santa Caterina, 1 - Brentonico",0464-395296,0464 395398,info@pizzeriapineta.it,www.pizzeriapineta.it/,45.821.891,10.958.776
Family Hotel Primavera,Via Claudia Augusta 3 - Levico Terme,0461-706193,0461-706376,info@familyhotelprimavera.it,www.familyhotelprimavera.it/,46.00.969,11.29.828
Hotel Rifugio Sores,Località Predaia - Tres,0463-463500,0463-463600,"posta@hotelrifugiosores.it info@sorespark.it","www.hotelrifugiosores.it www.sorespark.it",46.327.017,11.13.533
Pizzeria la Comparsa,"Via Targa, 49, Montagnaga di Piné","0461-557006 347-7069035 ",0461-553050,pizzeriacomparsa@libero.it,,46.094.008,11.233.778
Ristorante la Dolce Vita – hotel Campagnola,"Via S. Tomaso, 11 - Riva del Garda",0464-521103 ,0464-521266,info@hotelcampagnola.com,www.hotelcampagnola.com,45.903.747,10.859.985
Rifugio SAT San Pietro,"Via Sanť Antonio, 36 - Monte Calino di Tenno","0464-500647 0464-502150 339-8269314",,,"www.gardatrentino.it www.infotrentino.com www.sat.tn.it",45.930.483,10.824.065
Ristorante La Stua,"Località Desene, Ronchi Valsugana",340-9018719,,,www.ristoranteallastua.com,46.079.542,11.412.477
Ristorante Antiche Contrade,"Via al Lago, 11 - Pergine Valsugana",0461-538228,0461-539333,info.antichecontrade.com,www.antichecontrade.com,46.055.067,11.236.117
Pizzeria Genzianella,"Via Zurlon, 1 - Masi di Vigo Cavedine","0461-566084 345-5717095",,,www.pizzeria-genzianella.com,45.965.452,10.973.742
Bar ristorante self service “Val Mastellina”,"Bassetta del Vigo “Val Mastellina”" - Commezzadura",,,,,46.292.511,10.834.923
