Denominazione,Indirizzo,Telefono,Fax,Email,Sito web,Latitudine,Longitudine
Associazione Periscopio,"Via Valentina Zambra, 11 - Trento",0461-407050,0461-407051,,www.periscopio.org,46.092.088,11.117.542
Centro genitori bambini “Koiné” - Progetto 92,"Viale Verona, 68 - Trento",0461-390185,,segreteria@progetto92.net,www.progetto92.it,46.057.032,11.13.018
Associazione di promozione sociale Orizzonti comuni,"Via Garibaldi, 4 - Vigolo Vattaro",349-8889226,,orizzonticomuni@libero.it,www.orizzonticomuni.it,46.004.578,11.197.278
Cooperativa Tagesmutter Il Sorriso,"Via Valentina Zambra, 11 - Trento",0461-1920503,,,www.tagesmutter-ilsorriso.it/,47.129.951,11.513.672
Centro servizi per bambini “La Chioccia”,"Via Cerere, 42/a - Arco",348-8284852,,info@lachioccia.eu,www.lachioccia.it,45.91.677,10.875.113
Tic tac è ora di giocare,"Via Unione, 66 - San Giorgio / Rovereto",0464-357038,0464-357038,tict...@gmail.com,www.tictacoradigiocare.com,45.893.144,11.026.969
L’isola che non c’è,"Via Roma, 38/a - Pieve di Bono - fraz. Creto",0465-673138,0465-673138,,www.lisolachenonce.tn.it,45.939.004,10.638.349
Kaleidoscopio per il Centro Kaos - Mezzolombardo,"Via Rotaliana, 58 - Mezzolombardo",0461-602428,0461-602428,ilkaos.kal@consolida.it,www.kaleidoscopio.coop/index.php/ita/I-nostri-servizi/Il-Kaos,46.217.733,11.097.543
Kaleidoscopio per lo spazio aperto di Povo,"Via Don Tommaso Dallafior, 2 - Povo",0461-811188,,,www.kaleidoscopio.coop/index.php/ita/I.../SPAZIO-APERTO-POVO,,
Kaleidoscopio per il Centro Open di Romeno,"Via Zucali Mario, 29 - Romeno",0463-875255,,,www.kaleidoscopio.coop/,46.422.713,11.112.671
"Kaleidoscopio, centro aperto Tassullo","Località Campo, 9 - Tassullo",0463-450494,,,www.kaleidoscopio.coop/,46.336.899,11.050.723
Con.solida per la struttura Vezzena Camp,"Via Brennero, 246 - c/o Tridente 4 - Trento",0461-235723,0461-237166,vezzenacamp@consolida.it,www.vezzenacamp.it,46.085.644,11.118.615
Gruppo Oasi di Cadine,"Via del Molin, 34 - Cadine",0461-865481,0461-865481,info@oasi.tn.it,www.oasi.tn.it,46.088.234,11.062.546
Parco Naturale Adamello Brenta,"Via Nazionale, 24 - Strembo",0465-806666,0465-806699,info@pnab.it,www.pnab.it,46.219.752,10.721.283
Baby Garden “L’Arcobaleno”,"Via Pinera, 34 - Marco di Rovereto",0464-942049,,,www.asilonidoarcobaleno.tn.it,45.847.351,11.011.069
APPM per il centro aperto di Pergine Valsugana,"Via Prati, 33 - Pergine Valsugana",0461-511305,,residenzialepergine@appm.it,www.appm.it,46.071.325,11.235.924
APPM per il centro aperto Mezzolombardo,"Via Degasperi, 57 - Mezzolombardo",0461-601749,,diurnomezzolombardo@appm.it,www.appm.it,46.222.128,11.093.445
APPM per il centro aperto Tierno di Mori,"Via Fabio Filzi, 35 - Tierno di Mori",0464-010833,,diurnomori@appm.it,www.appm.it,45.854.376,10.968.325
APPM per il centro aperto Lavis,"Via Clementi, 50 - Lavis",0461-246439,,diurnolavis@appm.it,www.appm.it,46.141.203,11.108.572
APPM per il centro aperto Canal San Bovo,"Via Roma, 45 - Canal San Bovo",0439-719734,,minori.primiero@virgilio.it  ,www.appm.it,46.156.366,11.732.025
APPM per lo spazio giovani “Valle dei Laghi” di Levico Terme,"Vicolo Crocefisso, 12 - Levico Terme",0461-707466,,spaziogiovanilaghi@appm.it,www.appm.it,46.015.562,11.297.722
APPM per il Progetto Giovani di Dimaro,"Piazza Madonna della Pace, 4 - Dimaro",0463-973412,,pgvsole@appm.it,www.appm.it,46.326.424,10.875.714
APPM per lo Spazio Giovani di Fiera di Primiero,"Via Roma, 45 - Fiera di Primiero",0439-719734,,diurnoprimiero@appm.it,www.appm.it,,
APPM per il Centro di aggregazione l’Area di Trento,"Via Zambra, 11",0461-829896,,associazioneminori@appm.it,www.appm.it,46.092.014,11.117.091
Cooperativa “La Coccinella” Cles,"Via De Gasperi, 19 - Cles",0463-600168,0463-609497,info@lacoccinella.coop,www.lacoccinella.coop,46.363.722,11.033.535
Associazione “Asilo nel bosco” Trento,"Via Salé, 13 - Povo","348-0105538 349-2978598",,info@asilonelbosco.it,www.asilonelbosco.it,46.062.177,11.152.732
Associazione culturale “La Meta” Caldonazzo,"Via Spiazzi, 4 - Caldonazzo",0461-1918118,0461-1918118,,www.aclameta.it/,45.992.236,11.266.158
Associazione “La Bottega del Sorriso” Trento,"Lungo Adige Apuleio, 7",340-5990424,,,www.labottegadelsorriso.info,46.074.407,11.114.988
British Institutes Trento,"Galleria Adria, 3 - Trento",0461-238322,0461-238322,trento@britishinstitutes.it,www.britishinstitutestrento.it,46.068.467,11.122.971
Britisn institutes Ronzone,Via del Pastor - Ronzone,0461-238322,0461-238322,trento@britishinstitutes.it,www.britishinstitutestrento.it,46.422.402,11.153.119
